,Percent,Avg. efficiency,Sim 10,Sim 100,Sim 1000
Grid 2x1x1 at 0.01,0.01,1.0,1.0,1.0,1.0
Grid 2x1x1 at 0.02,0.02,1.0,1.0,1.0,1.0
Grid 2x1x1 at 0.03,0.03,1.0,1.0,1.0,1.0
Grid 2x1x1 at 0.04,0.04,1.0,1.0,1.0,1.0
Grid 2x1x1 at 0.05,0.05,1.0,1.0,1.0,1.0
Grid 2x1x1 at 0.1,0.1,1.0,1.0,1.0,1.0
Grid 2x1x1 at 0.15,0.15,1.0,1.0,1.0,1.0
Grid 2x1x1 at 0.2,0.2,1.0,1.0,1.0,1.0
Grid 2x1x1 at 0.25,0.25,1.0,1.0,1.0,1.0
Grid 2x1x1 at 0.5,0.5,1.0,1.0,1.0,1.0
Cycle 2 at 0.01,0.01,1.0,1.0,1.0,1.0
Cycle 2 at 0.02,0.02,1.0,1.0,1.0,1.0
Cycle 2 at 0.03,0.03,1.0,1.0,1.0,1.0
Cycle 2 at 0.04,0.04,1.0,1.0,1.0,1.0
Cycle 2 at 0.05,0.05,1.0,1.0,1.0,1.0
Cycle 2 at 0.1,0.1,1.0,1.0,1.0,1.0
Cycle 2 at 0.15,0.15,1.0,1.0,1.0,1.0
Cycle 2 at 0.2,0.2,1.0,1.0,1.0,1.0
Cycle 2 at 0.25,0.25,1.0,1.0,1.0,1.0
Cycle 2 at 0.5,0.5,1.0,1.0,1.0,1.0
Grid 3x1x1 at 0.01,0.01,0.8333333333333334,0.8,0.79,0.815
Grid 3x1x1 at 0.02,0.02,0.8333333333333334,0.85,0.825,0.8405
Grid 3x1x1 at 0.03,0.03,0.8333333333333334,0.75,0.81,0.8365
Grid 3x1x1 at 0.04,0.04,0.8333333333333334,0.85,0.86,0.8405
Grid 3x1x1 at 0.05,0.05,0.8333333333333334,0.9,0.855,0.828
Grid 3x1x1 at 0.1,0.1,0.8333333333333334,0.75,0.815,0.8315
Grid 3x1x1 at 0.15,0.15,0.8333333333333334,1.0,0.87,0.8335
Grid 3x1x1 at 0.2,0.2,0.8333333333333334,0.85,0.835,0.82975
Grid 3x1x1 at 0.25,0.25,0.8333333333333334,0.8,0.845,0.8315
Grid 3x1x1 at 0.5,0.5,0.8333333333333334,0.85,0.8383333333333332,0.8321666666666705
Tree 2 at 0.01,0.01,0.8333333333333334,0.8,0.835,0.833
Tree 2 at 0.02,0.02,0.8333333333333334,0.95,0.79,0.8415
Tree 2 at 0.03,0.03,0.8333333333333334,0.95,0.825,0.8415
Tree 2 at 0.04,0.04,0.8333333333333334,0.9,0.84,0.834
Tree 2 at 0.05,0.05,0.8333333333333334,0.85,0.835,0.836
Tree 2 at 0.1,0.1,0.8333333333333334,0.85,0.855,0.8225
Tree 2 at 0.15,0.15,0.8333333333333334,0.9,0.855,0.8325
Tree 2 at 0.2,0.2,0.8333333333333334,0.8,0.8325,0.8295
Tree 2 at 0.25,0.25,0.8333333333333334,0.825,0.845,0.82725
Tree 2 at 0.5,0.5,0.8333333333333334,0.7999999999999999,0.8466666666666666,0.8370000000000041
Cycle 3 at 0.01,0.01,1.0,1.0,1.0,1.0
Cycle 3 at 0.02,0.02,1.0,1.0,1.0,1.0
Cycle 3 at 0.03,0.03,1.0,1.0,1.0,1.0
Cycle 3 at 0.04,0.04,1.0,1.0,1.0,1.0
Cycle 3 at 0.05,0.05,1.0,1.0,1.0,1.0
Cycle 3 at 0.1,0.1,1.0,1.0,1.0,1.0
Cycle 3 at 0.15,0.15,1.0,1.0,1.0,1.0
Cycle 3 at 0.2,0.2,1.0,1.0,1.0,1.0
Cycle 3 at 0.25,0.25,1.0,1.0,1.0,1.0
Cycle 3 at 0.5,0.5,1.0,1.0,1.0,1.0
Grid 2x2x1 at 0.01,0.01,0.8333333333333334,0.7,0.8,0.8285
Grid 2x2x1 at 0.02,0.02,0.8333333333333334,0.75,0.8,0.8375
Grid 2x2x1 at 0.03,0.03,0.8333333333333334,0.9,0.825,0.8315
Grid 2x2x1 at 0.04,0.04,0.8333333333333334,0.95,0.845,0.8285
Grid 2x2x1 at 0.05,0.05,0.8333333333333334,0.85,0.885,0.85
Grid 2x2x1 at 0.1,0.1,0.8333333333333334,0.875,0.845,0.83575
Grid 2x2x1 at 0.15,0.15,0.8333333333333334,0.875,0.865,0.84025
Grid 2x2x1 at 0.2,0.2,0.8333333333333334,0.8333333333333333,0.8266666666666665,0.832833333333335
Grid 2x2x1 at 0.25,0.25,0.8333333333333334,0.7833333333333333,0.8283333333333335,0.8256666666666702
Grid 2x2x1 at 0.5,0.5,0.8333333333333334,0.825,0.8316666666666666,0.8330833333333366
Grid 4x1x1 at 0.01,0.01,0.7222222222222222,0.8333333333333333,0.7316666666666667,0.7150000000000013
Grid 4x1x1 at 0.02,0.02,0.7222222222222222,0.7333333333333333,0.7133333333333334,0.717500000000001
Grid 4x1x1 at 0.03,0.03,0.7222222222222222,0.8333333333333333,0.7133333333333336,0.7331666666666674
Grid 4x1x1 at 0.04,0.04,0.7222222222222222,0.7,0.7333333333333334,0.7266666666666675
Grid 4x1x1 at 0.05,0.05,0.7222222222222222,0.7166666666666666,0.6883333333333332,0.716666666666668
Grid 4x1x1 at 0.1,0.1,0.7222222222222222,0.6833333333333333,0.7524999999999997,0.7295833333333311
Grid 4x1x1 at 0.15,0.15,0.7222222222222222,0.75,0.6991666666666667,0.7156666666666649
Grid 4x1x1 at 0.2,0.2,0.7222222222222222,0.8166666666666667,0.736666666666667,0.7242222222222217
Grid 4x1x1 at 0.25,0.25,0.7222222222222222,0.6555555555555554,0.7255555555555558,0.7191111111111104
Grid 4x1x1 at 0.5,0.5,0.7222222222222222,0.7222222222222221,0.7224999999999997,0.7245833333333312
Cycle 4 at 0.01,0.01,0.8333333333333334,0.75,0.805,0.828
Cycle 4 at 0.02,0.02,0.8333333333333334,0.8,0.815,0.825
Cycle 4 at 0.03,0.03,0.8333333333333334,0.85,0.82,0.827
Cycle 4 at 0.04,0.04,0.8333333333333334,0.8,0.855,0.834
Cycle 4 at 0.05,0.05,0.8333333333333334,0.7,0.82,0.8325
Cycle 4 at 0.1,0.1,0.8333333333333334,0.8,0.8525,0.83075
Cycle 4 at 0.15,0.15,0.8333333333333334,0.875,0.86,0.83725
Cycle 4 at 0.2,0.2,0.8333333333333334,0.8333333333333334,0.84,0.8316666666666693
Cycle 4 at 0.25,0.25,0.8333333333333334,0.9,0.8549999999999999,0.8323333333333371
Cycle 4 at 0.5,0.5,0.8333333333333334,0.8083333333333333,0.8333333333333333,0.8352500000000022
Grid 5x1x1 at 0.01,0.01,0.6416666666666666,0.4333333333333334,0.6133333333333334,0.6436666666666669
Grid 5x1x1 at 0.02,0.02,0.6416666666666666,0.6749999999999999,0.6100000000000001,0.6442500000000002
Grid 5x1x1 at 0.03,0.03,0.6416666666666666,0.5333333333333334,0.6400000000000002,0.6360833333333339
Grid 5x1x1 at 0.04,0.04,0.6416666666666666,0.7666666666666666,0.6425000000000002,0.6530833333333341
Grid 5x1x1 at 0.05,0.05,0.6416666666666666,0.6166666666666666,0.6183333333333336,0.6420833333333336
Grid 5x1x1 at 0.1,0.1,0.6416666666666666,0.7083333333333333,0.6804166666666666,0.6390416666666661
Grid 5x1x1 at 0.15,0.15,0.6416666666666666,0.561111111111111,0.606666666666667,0.6442777777777755
Grid 5x1x1 at 0.2,0.2,0.6416666666666666,0.6958333333333332,0.6504166666666669,0.6459791666666675
Grid 5x1x1 at 0.25,0.25,0.6416666666666666,0.6116666666666667,0.6308333333333331,0.6372666666666649
Grid 5x1x1 at 0.5,0.5,0.6416666666666666,0.6824999999999999,0.6432500000000002,0.641883333333333
Cycle 5 at 0.01,0.01,0.75,0.8,0.76,0.7555
Cycle 5 at 0.02,0.02,0.75,0.75,0.75,0.752
Cycle 5 at 0.03,0.03,0.75,0.65,0.75,0.7625
Cycle 5 at 0.04,0.04,0.75,0.7,0.77,0.7605
Cycle 5 at 0.05,0.05,0.75,0.65,0.765,0.7435
Cycle 5 at 0.1,0.1,0.75,0.7,0.76,0.75
Cycle 5 at 0.15,0.15,0.75,0.8666666666666666,0.7483333333333333,0.7471666666666659
Cycle 5 at 0.2,0.2,0.75,0.7875,0.735,0.750375
Cycle 5 at 0.25,0.25,0.75,0.76,0.7419999999999998,0.7517999999999996
Cycle 5 at 0.5,0.5,0.75,0.6900000000000001,0.7479999999999998,0.7494500000000008
Grid 3x2x1 at 0.01,0.01,0.711111111111111,0.7333333333333333,0.7,0.7128333333333341
Grid 3x2x1 at 0.02,0.02,0.711111111111111,0.6166666666666666,0.7233333333333334,0.6998333333333339
Grid 3x2x1 at 0.03,0.03,0.711111111111111,0.6833333333333333,0.75,0.7260000000000008
Grid 3x2x1 at 0.04,0.04,0.711111111111111,0.7916666666666666,0.725,0.7031666666666656
Grid 3x2x1 at 0.05,0.05,0.711111111111111,0.7583333333333334,0.7150000000000002,0.7153333333333327
Grid 3x2x1 at 0.1,0.1,0.711111111111111,0.6222222222222223,0.7066666666666671,0.7078888888888869
Grid 3x2x1 at 0.15,0.15,0.711111111111111,0.7433333333333333,0.6999999999999996,0.7117666666666648
Grid 3x2x1 at 0.2,0.2,0.711111111111111,0.7944444444444444,0.7100000000000003,0.709527777777777
Grid 3x2x1 at 0.25,0.25,0.711111111111111,0.6958333333333334,0.7097916666666663,0.7127708333333307
Grid 3x2x1 at 0.5,0.5,0.711111111111111,0.71,0.7133333333333333,0.7098333333333339
Tree 3 at 0.01,0.01,0.5634920634920635,0.5249999999999999,0.5133333333333333,0.5664166666666661
Tree 3 at 0.02,0.02,0.5634920634920635,0.5333333333333334,0.5741666666666668,0.5769166666666664
Tree 3 at 0.03,0.03,0.5634920634920635,0.6333333333333333,0.5795833333333331,0.5602500000000007
Tree 3 at 0.04,0.04,0.5634920634920635,0.5708333333333334,0.6054166666666664,0.5828750000000007
Tree 3 at 0.05,0.05,0.5634920634920635,0.6166666666666667,0.5869444444444446,0.5662222222222192
Tree 3 at 0.1,0.1,0.5634920634920635,0.5066666666666667,0.5576666666666665,0.5643499999999998
Tree 3 at 0.15,0.15,0.5634920634920635,0.5261904761904762,0.5527380952380954,0.5634761904761904
Tree 3 at 0.2,0.2,0.5634920634920635,0.5537037037037037,0.5553703703703704,0.5638703703703699
Tree 3 at 0.25,0.25,0.5634920634920635,0.5575757575757575,0.5515909090909092,0.5624166666666671
Tree 3 at 0.5,0.5,0.5634920634920635,0.5646825396825397,0.5613095238095237,0.5656944444444415
Grid 2x2x2 at 0.01,0.01,0.6904761904761906,0.7,0.6716666666666667,0.6776666666666666
Grid 2x2x2 at 0.02,0.02,0.6904761904761906,0.6916666666666667,0.673333333333333,0.6899999999999991
Grid 2x2x2 at 0.03,0.03,0.6904761904761906,0.75,0.7083333333333333,0.6904999999999992
Grid 2x2x2 at 0.04,0.04,0.6904761904761906,0.6611111111111111,0.6800000000000002,0.6888333333333329
Grid 2x2x2 at 0.05,0.05,0.6904761904761906,0.7388888888888889,0.7122222222222225,0.691333333333333
Grid 2x2x2 at 0.1,0.1,0.6904761904761906,0.6861111111111111,0.6880555555555559,0.6871388888888886
Grid 2x2x2 at 0.15,0.15,0.6904761904761906,0.75,0.6898148148148148,0.6904444444444434
Grid 2x2x2 at 0.2,0.2,0.6904761904761906,0.7402777777777777,0.7004166666666666,0.6921944444444448
Grid 2x2x2 at 0.25,0.25,0.6904761904761906,0.6785714285714286,0.6814285714285713,0.6880000000000008
Grid 2x2x2 at 0.5,0.5,0.6904761904761906,0.6690476190476191,0.6845833333333334,0.6908452380952372
Grid 4x2x1 at 0.01,0.01,0.625,0.6833333333333333,0.5966666666666669,0.6216666666666668
Grid 4x2x1 at 0.02,0.02,0.625,0.7333333333333333,0.6212499999999997,0.6277916666666662
Grid 4x2x1 at 0.03,0.03,0.625,0.5708333333333333,0.6183333333333331,0.6207916666666662
Grid 4x2x1 at 0.04,0.04,0.625,0.6055555555555555,0.6252777777777782,0.6244999999999993
Grid 4x2x1 at 0.05,0.05,0.625,0.6055555555555556,0.6336111111111115,0.6269444444444424
Grid 4x2x1 at 0.1,0.1,0.625,0.7083333333333334,0.6376388888888886,0.626805555555555
Grid 4x2x1 at 0.15,0.15,0.625,0.6583333333333334,0.6242592592592591,0.6265185185185187
Grid 4x2x1 at 0.2,0.2,0.625,0.6499999999999999,0.6224999999999999,0.6254305555555559
Grid 4x2x1 at 0.25,0.25,0.625,0.655952380952381,0.6272619047619049,0.6261607142857157
Grid 4x2x1 at 0.5,0.5,0.625,0.6351190476190476,0.6229464285714283,0.6241011904761905
Grid 3x3x1 at 0.01,0.01,0.6157407407407406,0.5,0.5875000000000004,0.6128333333333337
Grid 3x3x1 at 0.02,0.02,0.6157407407407406,0.6458333333333334,0.6308333333333332,0.6189999999999999
Grid 3x3x1 at 0.03,0.03,0.6157407407407406,0.6083333333333332,0.6233333333333335,0.6231111111111102
Grid 3x3x1 at 0.04,0.04,0.6157407407407406,0.5916666666666666,0.5891666666666666,0.6208611111111102
Grid 3x3x1 at 0.05,0.05,0.6157407407407406,0.4979166666666668,0.6022916666666669,0.6113124999999999
Grid 3x3x1 at 0.1,0.1,0.6157407407407406,0.628125,0.6021875,0.614072916666666
Grid 3x3x1 at 0.15,0.15,0.6157407407407406,0.6181818181818182,0.6094696969696971,0.6153560606060601
Grid 3x3x1 at 0.2,0.2,0.6157407407407406,0.6066666666666665,0.6092222222222223,0.6148833333333339
Grid 3x3x1 at 0.25,0.25,0.6157407407407406,0.6347222222222222,0.6053703703703701,0.6164583333333333
Grid 3x3x1 at 0.5,0.5,0.6157407407407406,0.617361111111111,0.6227314814814817,0.6155995370370371
Grid 5x2x1 at 0.01,0.01,0.5607407407407407,0.31833333333333336,0.5385000000000002,0.5801999999999997
Grid 5x2x1 at 0.02,0.02,0.5607407407407407,0.51,0.55025,0.5548166666666682
Grid 5x2x1 at 0.03,0.03,0.5607407407407407,0.5588888888888888,0.5635555555555559,0.5553722222222204
Grid 5x2x1 at 0.04,0.04,0.5607407407407407,0.5758333333333333,0.551625,0.5562916666666662
Grid 5x2x1 at 0.05,0.05,0.5607407407407407,0.5106666666666666,0.5621666666666667,0.5583966666666681
Grid 5x2x1 at 0.1,0.1,0.5607407407407407,0.5494444444444444,0.5640555555555555,0.5611444444444441
Grid 5x2x1 at 0.15,0.15,0.5607407407407407,0.6029761904761904,0.5718571428571428,0.5657857142857141
Grid 5x2x1 at 0.2,0.2,0.5607407407407407,0.590925925925926,0.5706388888888891,0.5611499999999998
Grid 5x2x1 at 0.25,0.25,0.5607407407407407,0.5865217391304348,0.5646594202898552,0.561907971014493
Grid 5x2x1 at 0.5,0.5,0.5607407407407407,0.5645555555555556,0.5613888888888889,0.5600103703703706
Grid 10x1x1 at 0.01,0.01,0.4286596119929453,0.41761904761904767,0.42042857142857154,0.4390488095238083
Grid 10x1x1 at 0.02,0.02,0.4286596119929453,0.46559523809523806,0.42402380952380975,0.4442166666666678
Grid 10x1x1 at 0.03,0.03,0.4286596119929453,0.4877777777777778,0.45524338624338645,0.43434166666666596
Grid 10x1x1 at 0.04,0.04,0.4286596119929453,0.447311507936508,0.4477638888888889,0.4341943452380946
Grid 10x1x1 at 0.05,0.05,0.4286596119929453,0.44102380952380943,0.42680714285714283,0.4246037301587301
Grid 10x1x1 at 0.1,0.1,0.4286596119929453,0.43666666666666665,0.4527923280423279,0.4332719135802471
Grid 10x1x1 at 0.15,0.15,0.4286596119929453,0.45958333333333334,0.42937103174603164,0.4226705498866208
Grid 10x1x1 at 0.2,0.2,0.4286596119929453,0.43285714285714294,0.429686728395062,0.4283114638447971
Grid 10x1x1 at 0.25,0.25,0.4286596119929453,0.43347135955831606,0.4338046928916492,0.42883999309868864
Grid 10x1x1 at 0.5,0.5,0.4286596119929453,0.4334470899470899,0.4325692239858907,0.429510502645503
Cycle 10 at 0.01,0.01,0.4851851851851852,0.7666666666666667,0.5403333333333333,0.49849999999999756
Cycle 10 at 0.02,0.02,0.4851851851851852,0.4658333333333333,0.4627500000000001,0.48130833333333634
Cycle 10 at 0.03,0.03,0.4851851851851852,0.5555555555555556,0.4922777777777785,0.4870777777777752
Cycle 10 at 0.04,0.04,0.4851851851851852,0.37625000000000003,0.45849999999999974,0.4855291666666664
Cycle 10 at 0.05,0.05,0.4851851851851852,0.475,0.4784333333333335,0.48878333333333346
Cycle 10 at 0.1,0.1,0.4851851851851852,0.48388888888888887,0.4814444444444446,0.479583333333334
Cycle 10 at 0.15,0.15,0.4851851851851852,0.49904761904761896,0.49652380952380915,0.4859464285714289
Cycle 10 at 0.2,0.2,0.4851851851851852,0.48064814814814805,0.4865740740740739,0.4832120370370376
Cycle 10 at 0.25,0.25,0.4851851851851852,0.46623188405797106,0.481413043478261,0.48510869565217335
Cycle 10 at 0.5,0.5,0.4851851851851852,0.4705925925925925,0.4884555555555557,0.48673370370370383
Grid 3x2x2 at 0.01,0.01,0.5959595959595959,0.4583333333333333,0.5804166666666662,0.5982083333333333
Grid 3x2x2 at 0.02,0.02,0.5959595959595959,0.6833333333333333,0.5908333333333333,0.5989722222222208
Grid 3x2x2 at 0.03,0.03,0.5959595959595959,0.5270833333333333,0.5987500000000003,0.5911458333333329
Grid 3x2x2 at 0.04,0.04,0.5959595959595959,0.5972222222222222,0.6162499999999999,0.6018472222222222
Grid 3x2x2 at 0.05,0.05,0.5959595959595959,0.6083333333333333,0.599047619047619,0.5932261904761897
Grid 3x2x2 at 0.1,0.1,0.5959595959595959,0.5726190476190476,0.5896428571428572,0.5914226190476188
Grid 3x2x2 at 0.15,0.15,0.5959595959595959,0.5745833333333333,0.5925833333333334,0.5947249999999996
Grid 3x2x2 at 0.2,0.2,0.5959595959595959,0.5950617283950618,0.5899691358024688,0.5949506172839517
Grid 3x2x2 at 0.25,0.25,0.5959595959595959,0.5997474747474747,0.5931818181818188,0.5963560606060595
Grid 3x2x2 at 0.5,0.5,0.5959595959595959,0.5982323232323232,0.5967676767676771,0.595356060606061
Grid 4x3x1 at 0.01,0.01,0.5464646464646465,0.4749999999999999,0.5053333333333332,0.5429500000000019
Grid 4x3x1 at 0.02,0.02,0.5464646464646465,0.6277777777777777,0.5371111111111115,0.549349999999998
Grid 4x3x1 at 0.03,0.03,0.5464646464646465,0.5166666666666666,0.5182916666666667,0.5425208333333319
Grid 4x3x1 at 0.04,0.04,0.5464646464646465,0.5774999999999999,0.5431944444444445,0.5470583333333326
Grid 4x3x1 at 0.05,0.05,0.5464646464646465,0.5314285714285714,0.5601190476190476,0.5533476190476184
Grid 4x3x1 at 0.1,0.1,0.5464646464646465,0.5716666666666665,0.5520595238095239,0.5447214285714287
Grid 4x3x1 at 0.15,0.15,0.5464646464646465,0.5669166666666667,0.5575166666666667,0.5434875000000002
Grid 4x3x1 at 0.2,0.2,0.5464646464646465,0.5520370370370371,0.550864197530864,0.546186419753087
Grid 4x3x1 at 0.25,0.25,0.5464646464646465,0.5354040404040404,0.5492171717171722,0.5470363636363631
Grid 4x3x1 at 0.5,0.5,0.5464646464646465,0.5556565656565655,0.5446994949494949,0.5458962121212124
Grid 5x3x1 at 0.01,0.01,0.49380952380952375,0.5477777777777778,0.5110555555555558,0.4985222222222198
Grid 5x3x1 at 0.02,0.02,0.49380952380952375,0.563,0.5188666666666666,0.4981766666666675
Grid 5x3x1 at 0.03,0.03,0.49380952380952375,0.4588095238095238,0.4758095238095239,0.49033571428571476
Grid 5x3x1 at 0.04,0.04,0.49380952380952375,0.47555555555555556,0.4733518518518517,0.49240185185185215
Grid 5x3x1 at 0.05,0.05,0.49380952380952375,0.47212121212121216,0.4975757575757575,0.49317272727272726
Grid 5x3x1 at 0.1,0.1,0.49380952380952375,0.47142857142857136,0.48794444444444435,0.49180317460317496
Grid 5x3x1 at 0.15,0.15,0.49380952380952375,0.4917187500000001,0.4952864583333333,0.4940671875000001
Grid 5x3x1 at 0.2,0.2,0.49380952380952375,0.5029365079365079,0.5013055555555553,0.49420476190476137
Grid 5x3x1 at 0.25,0.25,0.49380952380952375,0.4783018867924527,0.48890566037735866,0.4933352201257859
Grid 5x3x1 at 0.5,0.5,0.49380952380952375,0.5072539682539685,0.4953047619047623,0.4930741269841276
Tree 4 at 0.01,0.01,0.39079365079365086,0.45,0.3977222222222223,0.3948277777777768
Tree 4 at 0.02,0.02,0.39079365079365086,0.3413333333333333,0.3861666666666668,0.38950666666666633
Tree 4 at 0.03,0.03,0.39079365079365086,0.3885714285714286,0.3957857142857143,0.39252142857142897
Tree 4 at 0.04,0.04,0.39079365079365086,0.4407407407407408,0.40274074074074084,0.39133333333333314
Tree 4 at 0.05,0.05,0.39079365079365086,0.3827272727272727,0.38246969696969685,0.39046363636363696
Tree 4 at 0.1,0.1,0.39079365079365086,0.3976984126984126,0.3882539682539681,0.38968412698412613
Tree 4 at 0.15,0.15,0.39079365079365086,0.39854166666666657,0.39058333333333317,0.3905541666666665
Tree 4 at 0.2,0.2,0.39079365079365086,0.3804365079365079,0.39609523809523783,0.39093214285714284
Tree 4 at 0.25,0.25,0.39079365079365086,0.40251572327044016,0.38782389937106904,0.39107924528301835
Tree 4 at 0.5,0.5,0.39079365079365086,0.38214285714285723,0.3903571428571426,0.39009587301587345
Grid 4x2x2 at 0.01,0.01,0.5288888888888887,0.46499999999999997,0.5448333333333336,0.5310055555555536
Grid 4x2x2 at 0.02,0.02,0.5288888888888887,0.5313333333333332,0.5474333333333331,0.53361
Grid 4x2x2 at 0.03,0.03,0.5288888888888887,0.5116666666666666,0.5132291666666667,0.5259625000000002
Grid 4x2x2 at 0.04,0.04,0.5288888888888887,0.5198333333333334,0.539383333333333,0.5295583333333328
Grid 4x2x2 at 0.05,0.05,0.5288888888888887,0.5466666666666666,0.5232916666666667,0.5248361111111118
Grid 4x2x2 at 0.1,0.1,0.5288888888888887,0.5323611111111112,0.5243125000000001,0.5299618055555546
Grid 4x2x2 at 0.15,0.15,0.5288888888888887,0.5229629629629631,0.5185601851851852,0.5264546296296302
Grid 4x2x2 at 0.2,0.2,0.5288888888888887,0.5195138888888888,0.5315972222222222,0.5281753472222229
Grid 4x2x2 at 0.25,0.25,0.5288888888888887,0.5165555555555554,0.5274805555555554,0.5282166666666672
Grid 4x2x2 at 0.5,0.5,0.5288888888888887,0.5137777777777781,0.5256402777777782,0.5283800000000002
Grid 4x4x1 at 0.01,0.01,0.48833333333333334,0.4127777777777778,0.49944444444444464,0.484261111111109
Grid 4x4x1 at 0.02,0.02,0.48833333333333334,0.4716666666666667,0.4826333333333332,0.48722000000000026
Grid 4x4x1 at 0.03,0.03,0.48833333333333334,0.4772916666666667,0.47264583333333343,0.4837020833333319
Grid 4x4x1 at 0.04,0.04,0.48833333333333334,0.48649999999999993,0.49278333333333335,0.4890516666666668
Grid 4x4x1 at 0.05,0.05,0.48833333333333334,0.45555555555555555,0.49241666666666634,0.4906374999999999
Grid 4x4x1 at 0.1,0.1,0.48833333333333334,0.5036111111111111,0.4950347222222222,0.4886749999999994
Grid 4x4x1 at 0.15,0.15,0.48833333333333334,0.4959259259259259,0.48564814814814816,0.48783148148148153
Grid 4x4x1 at 0.2,0.2,0.48833333333333334,0.4746527777777777,0.4828854166666667,0.48700555555555614
Grid 4x4x1 at 0.25,0.25,0.48833333333333334,0.502861111111111,0.4885888888888888,0.48739888888888866
Grid 4x4x1 at 0.5,0.5,0.48833333333333334,0.49183333333333346,0.4890930555555557,0.4885654166666669
Grid 3x3x2 at 0.01,0.01,0.5193899782135076,0.5145833333333332,0.4989583333333336,0.5181916666666648
Grid 3x3x2 at 0.02,0.02,0.5193899782135076,0.5097619047619047,0.5366666666666666,0.515354761904762
Grid 3x3x2 at 0.03,0.03,0.5193899782135076,0.5151666666666667,0.5256000000000002,0.5208616666666662
Grid 3x3x2 at 0.04,0.04,0.5193899782135076,0.5032051282051282,0.5208076923076922,0.5194858974358977
Grid 3x3x2 at 0.05,0.05,0.5193899782135076,0.4898958333333333,0.5162395833333335,0.5182093750000001
Grid 3x3x2 at 0.1,0.1,0.5193899782135076,0.5295161290322581,0.5299354838709678,0.5215661290322574
Grid 3x3x2 at 0.15,0.15,0.5193899782135076,0.5027173913043478,0.5196666666666663,0.5199786231884057
Grid 3x3x2 at 0.2,0.2,0.5193899782135076,0.5016129032258064,0.5145430107526882,0.5192723118279563
Grid 3x3x2 at 0.25,0.25,0.5193899782135076,0.5114285714285713,0.5193290043290043,0.5202510822510824
Grid 3x3x2 at 0.5,0.5,0.5193899782135076,0.5231372549019608,0.5224270152505448,0.5192655773420477
Grid 5x2x2 at 0.01,0.01,0.4782456140350877,0.4883333333333333,0.46279166666666655,0.47364583333333266
Grid 5x2x2 at 0.02,0.02,0.4782456140350877,0.4916666666666667,0.47847916666666684,0.47578333333333145
Grid 5x2x2 at 0.03,0.03,0.4782456140350877,0.4666666666666667,0.4909166666666666,0.4806374999999994
Grid 5x2x2 at 0.04,0.04,0.4782456140350877,0.5069791666666666,0.47973958333333355,0.47757500000000125
Grid 5x2x2 at 0.05,0.05,0.4782456140350877,0.4617543859649123,0.47097368421052627,0.4755491228070175
Grid 5x2x2 at 0.1,0.1,0.4782456140350877,0.5126754385964911,0.48256578947368445,0.48084649122806994
Grid 5x2x2 at 0.15,0.15,0.4782456140350877,0.4741812865497074,0.4770497076023391,0.4800961988304099
Grid 5x2x2 at 0.2,0.2,0.4782456140350877,0.46888157894736837,0.47570614035087694,0.47753925438596456
Grid 5x2x2 at 0.25,0.25,0.4782456140350877,0.47826315789473695,0.47725087719298265,0.47906140350877185
Grid 5x2x2 at 0.5,0.5,0.4782456140350877,0.4872543859649124,0.47807982456140363,0.47824947368420984
Grid 5x4x1 at 0.01,0.01,0.44360902255639095,0.4192261904761905,0.444077380952381,0.446466071428571
Grid 5x4x1 at 0.02,0.02,0.44360902255639095,0.464702380952381,0.43893750000000004,0.4431497023809513
Grid 5x4x1 at 0.03,0.03,0.44360902255639095,0.48166666666666674,0.45810317460317473,0.4390488095238092
Grid 5x4x1 at 0.04,0.04,0.44360902255639095,0.44822916666666657,0.4454940476190478,0.4456497023809525
Grid 5x4x1 at 0.05,0.05,0.44360902255639095,0.4542105263157894,0.4434786967418544,0.442758897243108
Grid 5x4x1 at 0.1,0.1,0.44360902255639095,0.4303947368421053,0.44178195488721805,0.4443743107769427
Grid 5x4x1 at 0.15,0.15,0.44360902255639095,0.4595071010860484,0.44637259816207175,0.44431858813700936
Grid 5x4x1 at 0.2,0.2,0.44360902255639095,0.436594611528822,0.44471992481202993,0.44355993107769387
Grid 5x4x1 at 0.25,0.25,0.44360902255639095,0.45007017543859645,0.44517443609022556,0.44480115288220545
Grid 5x4x1 at 0.5,0.5,0.44360902255639095,0.4435651629072683,0.443495614035088,0.4441471052631578
Grid 10x2x1 at 0.01,0.01,0.3842982456140351,0.4492857142857142,0.39511210317460305,0.38527202380952363
Grid 10x2x1 at 0.02,0.02,0.3842982456140351,0.4369990079365079,0.3938452380952379,0.38592375992063527
Grid 10x2x1 at 0.03,0.03,0.3842982456140351,0.3759391534391534,0.38091104497354494,0.384923313492063
Grid 10x2x1 at 0.04,0.04,0.3842982456140351,0.38545138888888886,0.3889285714285712,0.3844333581349205
Grid 10x2x1 at 0.05,0.05,0.3842982456140351,0.3596804511278196,0.3917245196324143,0.38769895572263946
Grid 10x2x1 at 0.1,0.1,0.3842982456140351,0.3883030492898913,0.38280304928989123,0.3828244569757731
Grid 10x2x1 at 0.15,0.15,0.3842982456140351,0.40295391255917573,0.3874495265942633,0.3837231272626008
Grid 10x2x1 at 0.2,0.2,0.3842982456140351,0.3868833542188805,0.38212959482038433,0.38196035401002537
Grid 10x2x1 at 0.25,0.25,0.3842982456140351,0.3887593984962406,0.38163383458646605,0.3835499958228909
