,Random,Centered
0.01,0.9979860559044379,0.9960015101616472
0.02,0.9964358943634531,0.9831392600319537
0.03,0.9939708267904855,0.9763497749753139
0.04,0.991503457567122,0.9611872693903247
0.05,0.9882663780908552,0.949432339778281
0.1,0.9768108722710974,0.8634278074799179
0.15,0.9554741895017129,0.8167460131579083
0.2,0.9319264925400728,0.7618200384194282
0.25,0.9025178346519472,0.7077429126148548
0.5,0.6278118736695408,0.3933523314811794
